stat_no;year;month;day;hour;elem_val
26409;1996;9;11;7;0,0
26409;1996;9;12;7;15,9
26409;1996;9;13;7;5,9
26409;1996;9;14;7;0,5
26409;1996;9;15;7;4,0
26409;1996;9;16;7;0,0
26409;1996;9;17;7;0,0
26409;1996;9;18;7;0,0
26409;1996;9;19;7;0,0
26409;1996;9;20;7;0,0
26409;1996;9;21;7;0,0
26409;1996;9;22;7;0,0
26409;1996;9;23;7;0,0
26409;1996;9;24;7;0,0
26409;1996;9;25;7;0,0
26409;1996;9;26;7;0,0
26409;1996;9;27;7;0,5
26409;1996;9;28;7;6,8
26409;1996;9;29;7;7,7
26409;1996;9;30;7;26,9
26409;1996;10;1;7;2,3
26409;1996;10;2;7;4,3
26409;1996;10;3;7;0,0
26409;1996;10;4;7;4,6
26409;1996;10;5;7;1,7
26409;1996;10;6;7;5,5
26409;1996;10;7;7;0,0
26409;1996;10;8;7;0,0
26409;1996;10;9;7;0,0
26409;1996;10;10;7;0,7
26409;1996;10;11;7;0,0
26409;1996;10;12;7;0,0
26409;1996;10;13;7;0,0
26409;1996;10;14;7;0,0
26409;1996;10;15;7;0,0
26409;1996;10;16;7;0,0
26409;1996;10;17;7;14,9
26409;1996;10;18;7;0,0
26409;1996;10;19;7;0,0
26409;1996;10;20;7;1,2
26409;1996;10;21;7;4,3
26409;1996;10;22;7;5,2
26409;1996;10;23;7;0,0
26409;1996;10;24;7;0,0
26409;1996;10;25;7;0,0
26409;1996;10;26;7;0,0
26409;1996;10;27;7;0,9
26409;1996;10;28;7;13,3
26409;1996;10;29;7;6,6
26409;1996;10;30;7;11,8
26409;1996;10;31;7;6,1
26409;1996;11;1;7;5,5
26409;1996;11;2;7;0,0
26409;1996;11;3;7;1,5
26409;1996;11;4;7;5,0
26409;1996;11;5;7;5,0
26409;1996;11;6;7;9,2
26409;1996;11;7;7;11,4
26409;1996;11;8;7;4,7
26409;1996;11;9;7;12,6
26409;1996;11;10;7;2,3
26409;1996;11;11;7;6,4
26409;1996;11;12;7;8,3
26409;1996;11;13;7;0,0
26409;1996;11;14;7;0,7
26409;1996;11;15;7;0,0
26409;1996;11;16;7;0,0
26409;1996;11;17;7;0,0
26409;1996;11;18;7;2,8
26409;1996;11;19;7;5,5
26409;1996;11;20;7;0,9
26409;1996;11;21;7;0,2
26409;1996;11;22;7;8,3
26409;1996;11;23;7;22,0
26409;1996;11;24;7;0,5
26409;1996;11;25;7;0,5
26409;1996;11;26;7;10,5
26409;1996;11;27;7;0,6
26409;1996;11;28;7;0,7
26409;1996;11;29;7;0,0
26409;1996;11;30;7;11,3
26409;1996;12;1;7;1,1
26409;1996;12;2;7;9,3
26409;1996;12;3;7;4,6
26409;1996;12;4;7;7,5
26409;1996;12;5;7;0,0
26409;1996;12;6;7;0,5
26409;1996;12;7;7;0,0
26409;1996;12;8;7;0,0
26409;1996;12;9;7;0,0
26409;1996;12;10;7;0,0
26409;1996;12;11;7;0,0
26409;1996;12;12;7;0,0
26409;1996;12;13;7;3,2
26409;1996;12;14;7;0,0
26409;1996;12;15;7;10,0
26409;1996;12;16;7;0,0
26409;1996;12;17;7;0,3
26409;1996;12;18;7;0,2
26409;1996;12;19;7;0,0
26409;1996;12;20;7;0,0
26409;1996;12;21;7;0,0
26409;1996;12;22;7;0,0
26409;1996;12;23;7;0,0
26409;1996;12;24;7;0,0
26409;1996;12;25;7;0,0
26409;1996;12;26;7;0,0
26409;1996;12;27;7;0,0
26409;1996;12;28;7;0,0
26409;1996;12;29;7;0,0
26409;1996;12;30;7;0,3
26409;1996;12;31;7;2,5
26409;1997;1;1;7;0,0
26409;1997;1;2;7;0,0
26409;1997;1;3;7;0,0
26409;1997;1;4;7;0,0
26409;1997;1;5;7;0,0
26409;1997;1;6;7;0,0
26409;1997;1;7;7;0,0
26409;1997;1;8;7;0,0
26409;1997;1;9;7;0,0
26409;1997;1;10;7;0,0
26409;1997;1;11;7;0,0
26409;1997;1;12;7;0,0
