2708216-NOV-2009 00:00:0017-NOV-2009 23:59:59     8    25    14     7     1    35    17    26    17Rm flyttes 24m mod ESE 20091117.                                              B
2708218-NOV-2009 00:00:0001-APR-2011 23:59:59    18    19     3    16     4     9    16    14    11Rm flyttet 24m mod ESE 20091117. Ophørt på denne adr. 20110401.               B
3037013-MAY-1987 00:00:0006-MAR-1996 23:59:59    25    15    25    12    20    15    15    20    17                                                                              B
3037007-MAR-1996 00:00:0016-JUN-1997 23:59:59    18    27    11    18    60    14    16    18    25                                                                              A
3037017-JUN-1997 00:00:0020-MAY-2002 23:59:59    20    14    18    10    15    10    11    14    13Træ mod S fældet siden 19960307.                                              B
3037021-MAY-2002 00:00:0031-AUG-2004 23:59:59    22    18     9    17    19    10    14    16    15                                                                              B
3037001-SEP-2004 00:00:0006-DEC-2006 23:59:59    22    18     9    16    12    14    14    16    14                                                                              B
3037007-DEC-2006 00:00:0004-MAR-2009 23:59:59    21    19     9    16    12    14    14    16    14                                                                              B
3037005-MAR-2009 00:00:0023-NOV-2009 23:59:59    21    17    11    12    12    12    13    16    13                                                                              B
3037024-NOV-2009 00:00:0001-APR-2011 23:59:59    21    14    13    13    15    13    13    16    14Ophørt på denne adr. 20110401.                                                B
3038013-MAY-1987 00:00:0006-MAR-1996 23:59:59    12    13    10     7     7    18    28    22    15                                                                              B
3038007-MAR-1996 00:00:0008-JUN-1997 23:59:59     9    17     7     7     7    18    22     9    13Rm ophørt på denne adr. 19970608.                                             B
